,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
14,Minnesota 6th District - Bachmann vs. Clark vs. Anderson,SurveyUSA,"Bachmann 48, Clark 39, Anderson 6",9,2010-07-13,2010,12.0
15,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 42, Heck 40",2,2010-07-18,2010,0.0
16,Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 58, Perriello 35",23,2010-07-21,2010,12.0
17,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 52, Griffith 39",13,2010-07-22,2010,12.0
18,New Mexico 1st District - Barela vs. Heinrich,SurveyUSA,"Barela 51, Heinrich 45",6,2010-07-27,2010,12.0
19,Kentucky 6th District - Barr vs. Chandler,CN|2/Braun Research,"Chandler 46, Barr 32",14,2010-07-29,2010,10.0
20,North Carolina 11th District - Miller vs. Shuler,SurveyUSA,"Shuler 45, Miller 44",1,2010-08-02,2010,12.0
21,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 43, Heck 42",1,2010-08-15,2010,0.0
22,Virginia 5th District - Hurt vs. Perriello,AAF/Ayers (R),"Hurt 49, Perriello 43",6,2010-08-16,2010,0.0
23,New York 23rd District - Doheny vs. Owens,AAF/Ayers (R),"Owens 41, Doheny 39",2,2010-08-16,2010,0.0
24,New York 25th District - Buerkle vs. Maffei,AAF/Ayers (R),"Maffei 44, Buerkle 41",3,2010-08-16,2010,0.0
25,Pennsylvania 3rd District - Kelly vs. Dahlkemper,AAF/Ayers (R),"Kelly 52, Dahlkemper 38",14,2010-08-16,2010,0.0
26,Pennsylvania 10th District - Marino vs. Carney,AAF/Ayers (R),"Marino 52, Carney 37",15,2010-08-16,2010,0.0
27,Pennsylvania 11th District - Barletta vs. Kanjorski,AAF/Ayers (R),"Barletta 52, Kanjorski 41",11,2010-08-16,2010,0.0
28,Pennsylvania 12th District - Burns vs. Critz,AAF/Ayers (R),"Burns 44, Critz 40",4,2010-08-16,2010,0.0
29,West Virginia 3rd District - Maynard vs. Rahall,AAF/Ayers (R),"Rahall 53, Maynard 37",16,2010-08-16,2010,0.0
30,New York 20th District - Gibson vs. Murphy,AAF/Ayers (R),"Murphy 45, Gibson 40",5,2010-08-16,2010,0.0
31,Washington 3rd District - Herrera vs. Heck,SurveyUSA,"Herrera 54, Heck 41",13,2010-08-26,2010,12.0
32,Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 61, Perriello 35",26,2010-09-02,2010,12.0
33,Nevada 3rd District - Heck vs. Titus,AAF/Ayers (R),"Titus 45, Heck 48",3,2010-09-02,2010,0.0
34,Kentucky 3rd District - Lally vs. Yarmuth,SurveyUSA,"Yarmuth 47, Lally 45",2,2010-09-03,2010,12.0
35,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 50, Griffith 40",10,2010-09-03,2010,12.0
36,Washington 8th District - Reichert vs. DelBene,SurveyUSA,"Reichert 54, DelBene 41",13,2010-09-04,2010,12.0
37,Washington 2nd District - Koster vs. Larsen,SurveyUSA,"Koster 50, Larsen 46",4,2010-09-04,2010,12.0
38,Maine 2nd District - Michaud v. Levesque,PPP (D),"Michaud 45, Levesque 38",7,2010-09-09,2010,9.0
39,Maine 1st District - Scontras vs. Pingree,PPP (D),"Pingree 47, Scontras 38",9,2010-09-09,2010,9.0
40,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Heck 43, Titus 47",4,2010-09-13,2010,0.0
41,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 47, Heck 43",4,2010-09-13,2010,0.0
42,California 20th District - Vidak vs. Costa,SurveyUSA,"Costa 48, Vidak 46",2,2010-09-15,2010,12.0
43,Washington 3rd District - Herrera vs. Heck,SurveyUSA,"Herrera 52, Heck 43",9,2010-09-16,2010,12.0
44,Michigan 9th District - Raczkowski vs. Peters,Rossman Group (D),"Raczkowski 45, Peters 41",4,2010-09-16,2010,7.0
45,Minnesota 6th District - Bachmann vs. Clark,SurveyUSA,"Bachmann 49, Clark 40",9,2010-09-17,2010,12.0
46,New York 20th District - Gibson vs. Murphy,Siena,"Murphy 54, Gibson 37",17,2010-09-17,2010,12.0
47,Pennsylvania 15th District - Dent vs. Callahan,Morning Call,"Dent 49, Callahan 38",11,2010-09-19,2010,0.0
48,Maine 2nd District - Michaud v. Levesque,Critical Insights,"Michaud 48, Levesque 28",20,2010-09-19,2010,6.0
49,Maine 1st District - Scontras vs. Pingree,Critical Insights,"Pingree 53, Scontras 29",24,2010-09-19,2010,6.0
50,Washington 9th District - Muri vs. Smith,SurveyUSA,"Smith 49, Muri 46",3,2010-09-20,2010,12.0
51,Michigan 15th District - Steele vs. Dingell,Detroit News,"Steele 30, Dingell 49",19,2010-09-20,2010,0.0
52,New York 29th District - Reed vs. Zeller,Siena,"Reed 44, Zeller 30",14,2010-09-21,2010,12.0
53,Idaho 1st District - Labrador vs. Minnick,Mason-Dixon,"Minnick 46, Labrador 36",10,2010-09-21,2010,10.0
54,New York 24th District - Hanna vs. Arcuri,Siena,"Arcuri 48, Hanna 40",8,2010-09-21,2010,12.0
55,Rhode Island 1st District - Loughlin vs. Cicilline,NBC 10/Quest Research,"Cicilline 49, Loughlin 26",23,2010-09-22,2010,0.0
56,Pennsylvania 3rd District - Kelly vs. Dahlkemper,Franklin & Marshall,"Kelly 44, Dahlkemper 38",6,2010-09-22,2010,8.0
57,Pennsylvania 8th District - Fitzpatrick vs. Murphy,Franklin & Marshall,"Fitzpatrick 49, Murphy 35",14,2010-09-23,2010,8.0
58,Kentucky 3rd District - Lally vs. Yarmuth,CN|2/Braun Research,"Yarmuth 53, Lally 30",23,2010-09-23,2010,10.0
59,Michigan 7th District - Walberg vs. Schauer,Rossman Group (D),"Walberg 42, Schauer 38",4,2010-09-23,2010,7.0
60,Kentucky 6th District - Barr vs. Chandler,CN|2/Braun Research,"Chandler 51, Barr 37",14,2010-09-25,2010,10.0
61,Pennsylvania 11th District - Barletta vs. Kanjorski,Times Leader/Critical Insights,"Barletta 43, Kanjorski 32",11,2010-09-26,2010,6.0
62,Pennsylvania 10th District - Marino vs. Carney,Times Leader/Critical Insights,"Marino 40, Carney 36",4,2010-09-26,2010,6.0
63,New Jersey 3rd District - Runyan vs. Adler,Stockton/Zogby,"Adler 38, Runyan 30",8,2010-09-27,2010,10.0
64,Florida 22nd District - West vs. Klein,Harstad Strategic Res. (D),"Klein 48, West 43",5,2010-09-27,2010,10.0
65,New Hampshire 2nd District - Bass vs. Kuster,American Res. Group,"Kuster 36, Bass 38",2,2010-09-27,2010,0.0
66,New Hampshire 1st District - Guinta vs. Shea-Porter,American Res. Group,"Guinta 50, Shea-Porter 40",10,2010-09-27,2010,0.0
67,New Hampshire 2nd District - Bass vs. Kuster,American Res. Group,"Bass 38, Kuster 36",2,2010-09-27,2010,0.0
68,New Mexico 1st District - Barela vs. Heinrich,Daily Kos/PPP (D),"Heinrich 50, Barela 43",7,2010-09-28,2010,9.0
69,New Mexico 2nd District - Pearce vs. Teague,Daily Kos/PPP (D),"Pearce 48, Teague 47",1,2010-09-28,2010,9.0
70,New Mexico 3rd District - Lujan vs. Mullins,Daily Kos/PPP (D),"Lujan 49, Mullins 43",6,2010-09-28,2010,9.0
71,Florida 8th District - Webster vs. Grayson,Sunshine State News/VSS,"Webster 43, Grayson 36",7,2010-09-29,2010,0.0
72,North Carolina 7th District - Pantano vs. McIntyre,SurveyUSA,"Pantano 46, McIntyre 45",1,2010-09-29,2010,12.0
73,New Jersey 3rd District - Runyan vs. Adler,Rutgers-Eagleton,"Adler 41, Runyan 39",2,2010-09-29,2010,0.0
74,Maine 1st District - Scontras vs. Pingree,Critical Insights,"Pingree 54, Scontras 26",28,2010-09-29,2010,6.0
75,Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 58, Perriello 35",23,2010-09-29,2010,12.0
76,Maine 2nd District - Michaud v. Levesque,Critical Insights,"Michaud 44, Levesque 32",12,2010-09-29,2010,6.0
77,New Jersey 3rd District - Runyan vs. Adler,Monmouth/Gannett,"Adler 42, Runyan 39",3,2010-09-30,2010,13.0
78,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 53, Griffith 38",15,2010-09-30,2010,12.0
79,Ohio 1st District - Chabot vs. Driehaus,SurveyUSA,"Chabot 53, Driehaus 41",12,2010-10-01,2010,12.0
80,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Bass 43, Kuster 38",5,2010-10-01,2010,0.0
81,Rhode Island 1st District - Loughlin vs. Cicilline,WPRI/Fleming,"Cicilline 48, Loughlin 29",19,2010-10-01,2010,10.0
82,Washington 2nd District - Koster vs. Larsen,SurveyUSA,"Larsen 50, Koster 47",3,2010-10-01,2010,12.0
83,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 49, Shea-Porter 39",10,2010-10-01,2010,0.0
84,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Kuster 38, Bass 43",5,2010-10-01,2010,0.0
85,Washington 8th District - Reichert vs. DelBene,SurveyUSA,"Reichert 52, DelBene 45",7,2010-10-02,2010,12.0
86,New Mexico 2nd District - Pearce vs. Teague,Albuquerque Journal,"Pearce 45, Teague 44",1,2010-10-04,2010,0.0
87,New Mexico 1st District - Barela vs. Heinrich,Albuquerque Journal,"Heinrich 48, Barela 41",7,2010-10-04,2010,0.0
88,Hawaii 1st District - Djou vs. Hanabusa,Daily Kos/PPP (D),"Djou 47, Hanabusa 48",1,2010-10-05,2010,9.0
89,Louisiana 2nd District - Cao vs. Richmond,Daily Kos/PPP (D),"Richmond 49, Cao 38",11,2010-10-05,2010,9.0
90,Hawaii 1st District - Djou vs. Hanabusa,Daily Kos/PPP (D),"Hanabusa 48, Djou 47",1,2010-10-05,2010,9.0
91,Rhode Island 1st District - Loughlin vs. Cicilline,Brown University,"Cicilline 39, Loughlin 21",18,2010-10-05,2010,5.0
92,Arizona 1st District - Gosar vs. Kirkpatrick,"The Hill/Penn, Schoen & Berland (D)","Gosar 46, Kirkpatrick 39",7,2010-10-06,2010,0.0
93,Illinois 11th District - Kinzinger vs. Halvorson,"The Hill/Penn, Schoen & Berland (D)","Kinzinger 49, Halvorson 31",18,2010-10-06,2010,0.0
94,Maryland 1st District - Harris vs. Kratovil,"The Hill/Penn, Schoen & Berland (D)","Harris 43, Kratovil 40",3,2010-10-06,2010,0.0
95,Ohio 15th District - Stivers vs. Kilroy,"The Hill/Penn, Schoen & Berland (D)","Stivers 47, Kilroy 38",9,2010-10-06,2010,0.0
96,Arizona 1st District - Gosar vs. Kirkpatrick,The Hill/ANGA,"Gosar 46, Kirkpatrick 39",7,2010-10-06,2010,0.0
97,Illinois 11th District - Kinzinger vs. Halvorson,The Hill/ANGA,"Kinzinger 49, Halvorson 31",18,2010-10-06,2010,0.0
98,Maryland 1st District - Harris vs. Kratovil,The Hill/ANGA,"Harris 43, Kratovil 40",3,2010-10-06,2010,0.0
99,New Mexico 2nd District - Pearce vs. Teague,The Hill/ANGA,"Pearce 46, Teague 42",4,2010-10-06,2010,0.0
100,Ohio 15th District - Stivers vs. Kilroy,The Hill/ANGA,"Stivers 47, Kilroy 38",9,2010-10-06,2010,0.0
101,Virginia 5th District - Hurt vs. Perriello,The Hill/ANGA,"Hurt 45, Perriello 44",1,2010-10-06,2010,0.0
102,New Mexico 2nd District - Pearce vs. Teague,"The Hill/Penn, Schoen & Berland (D)","Pearce 46, Teague 42",4,2010-10-06,2010,0.0
103,Michigan 7th District - Walberg vs. Schauer,The Hill/ANGA,"Walberg 41, Schauer 41",0,2010-10-06,2010,0.0
104,Nevada 3rd District - Heck vs. Titus,The Hill/ANGA,"Heck 47, Titus 44",3,2010-10-06,2010,0.0
105,Ohio 16th District - Renacci vs. Boccieri,The Hill/ANGA,"Renacci 42, Boccieri 39",3,2010-10-06,2010,0.0
106,Colorado 4th District - Gardner vs. Markey,The Hill/ANGA,"Gardner 44, Markey 41",3,2010-10-06,2010,0.0
107,Virginia 2nd District - Rigell vs. Nye,The Hill/ANGA,"Rigell 42, Nye 36",6,2010-10-06,2010,0.0
108,Virginia 5th District - Hurt vs. Perriello,"The Hill/Penn, Schoen & Berland (D)","Hurt 45, Perriello 44",1,2010-10-06,2010,0.0
109,Colorado 4th District - Gardner vs. Markey,"The Hill/Penn, Schoen & Berland (D)","Gardner 44, Markey 41",3,2010-10-06,2010,0.0
110,Pennsylvania 3rd District - Kelly vs. Dahlkemper,The Hill/ANGA,"Kelly 49, Dahlkemper 36",13,2010-10-06,2010,0.0
111,Nevada 3rd District - Heck vs. Titus,"The Hill/Penn, Schoen & Berland (D)","Heck 47, Titus 44",3,2010-10-06,2010,0.0
112,Ohio 16th District - Renacci vs. Boccieri,"The Hill/Penn, Schoen & Berland (D)","Renacci 42, Boccieri 39",3,2010-10-06,2010,0.0
113,Pennsylvania 3rd District - Kelly vs. Dahlkemper,"The Hill/Penn, Schoen & Berland (D)","Kelly 49, Dahlkemper 36",13,2010-10-06,2010,0.0
114,Michigan 7th District - Walberg vs. Schauer,"The Hill/Penn, Schoen & Berland (D)","Walberg 41, Schauer 41",0,2010-10-06,2010,0.0
115,Indiana 2nd District - Walorski vs. Donnelly,WSBT/EPIC-MRA,"Donnelly 48, Walorski 39",9,2010-10-06,2010,10.0
116,Connecticut 5th District - Caligiuri vs. Murphy,CT Capitol Report/MRG,"Caligiuri 50, Murphy 44",6,2010-10-06,2010,7.0
117,North Carolina 8th District - Johnson vs. Kissell,SurveyUSA,"Kissell 46, Johnson 45",1,2010-10-06,2010,12.0
118,New Jersey 6th District - Little vs. Pallone,Monmouth University,"Pallone 53, Little 41",12,2010-10-06,2010,13.0
119,Virginia 2nd District - Rigell vs. Nye,"The Hill/Penn, Schoen & Berland (D)","Rigell 42, Nye 36",6,2010-10-06,2010,0.0
120,Pennsylvania 7th District - Meehan vs. Lentz,Monmouth University,"Meehan 49, Lentz 45",4,2010-10-07,2010,13.0
121,Connecticut 4th District - Debicella vs. Himes,CT Capitol Report/MRG,"Himes 49, Debicella 47",2,2010-10-07,2010,7.0
122,Connecticut 1st District - Brickley vs. Larson,CT Capitol Report/MRG,"Larson 52, Brickley 45",7,2010-10-07,2010,7.0
123,Michigan 15th District - Steele vs. Dingell,Rossman/Team TelCom,"Steele 44, Dingell 40",4,2010-10-08,2010,7.0
124,California 18th District - Berryhill vs. Cardoza,SurveyUSA,"Cardoza 50, Berryhill 44",6,2010-10-08,2010,12.0
125,Connecticut 2nd District - Peckinpaugh vs. Courtney,CT Capitol Report/MRG,"Courtney 55, Peckinpaugh 41",14,2010-10-08,2010,7.0
126,New York 19th District - Hayworth vs. Hall,RNN-TV/Iona College,"Hayworth 42, Hall 42",0,2010-10-09,2010,7.0
127,Pennsylvania 3rd District - Kelly vs. Dahlkemper,Mercyhurst College,"Kelly 44, Dahlkemper 37",7,2010-10-10,2010,0.0
128,Maine 1st District - Scontras vs. Pingree,PineTreePolitics/MECPO,"Pingree 46, Scontras 38",8,2010-10-10,2010,0.0
129,Washington 8th District - Reichert vs. DelBene,Daily Kos/PPP (D),"Reichert 49, DelBene 46",3,2010-10-11,2010,9.0
130,Utah 2nd District - Philpot vs. Matheson,UtahPolicy/Western Wats,"Matheson 46, Philpot 30",16,2010-10-12,2010,0.0
131,Rhode Island 1st District - Loughlin vs. Cicilline,NBC 10/Quest Research,"Cicilline 47, Loughlin 36",11,2010-10-13,2010,0.0
132,New Jersey 12th District - Sipprelle vs. Holt,Monmouth University,"Holt 51, Sipprelle 46",5,2010-10-13,2010,13.0
133,New York 1st District - Altschuler vs. Bishop,Siena,"Bishop 51, Altschuler 39",12,2010-10-13,2010,12.0
134,New York 23rd District - Doheny vs. Owens,Siena,"Owens 44, Doheny 39",5,2010-10-13,2010,12.0
135,Virginia 5th District - Hurt vs. Perriello,SurveyUSA*,"Hurt 52, Perriello 41",11,2010-10-13,2010,12.0
136,Wisconsin 7th District - Duffy vs. Lassa,"The Hill/Penn, Schoen & Berland (D)","Duffy 44, Lassa 35",9,2010-10-13,2010,0.0
137,Washington 3rd District - Herrera vs. Heck,"The Hill/Penn, Schoen & Berland (D)","Herrera 42, Heck 40",2,2010-10-13,2010,0.0
138,Tennessee 8th District - Fincher vs. Herron,"The Hill/Penn, Schoen & Berland (D)","Fincher 47, Herron 37",10,2010-10-13,2010,0.0
139,New York 19th District - Hayworth vs. Hall,Siena,"Hayworth 46, Hall 43",3,2010-10-13,2010,12.0
140,Pennsylvania 7th District - Meehan vs. Lentz,"The Hill/Penn, Schoen & Berland (D)","Meehan 40, Lentz 39",1,2010-10-13,2010,0.0
141,New Hampshire 2nd District - Bass vs. Kuster,"The Hill/Penn, Schoen & Berland (D)","Kuster 42, Bass 45",3,2010-10-13,2010,0.0
142,Hawaii 1st District - Djou vs. Hanabusa,"The Hill/Penn, Schoen & Berland (D)","Djou 45, Hanabusa 41",4,2010-10-13,2010,0.0
143,West Virginia 1st District - McKinley vs. Oliverio,"The Hill/Penn, Schoen & Berland (D)","Oliverio 42, McKinley 39",3,2010-10-13,2010,0.0
144,Arkansas 1st District - Crawford vs. Causey,"The Hill/Penn, Schoen & Berland (D)","Crawford 46, Causey 34",12,2010-10-13,2010,0.0
145,Pennsylvania 11th District - Barletta vs. Kanjorski,Franklin & Marshall,"Barletta 47, Kanjorski 40",7,2010-10-13,2010,8.0
146,Michigan 1st District - Benishek vs. McDowell,"The Hill/Penn, Schoen & Berland (D)","Benishek 42, McDowell 39",3,2010-10-13,2010,0.0
147,Maine 1st District - Scontras vs. Pingree,Critical Insights,"Pingree 48, Scontras 33",15,2010-10-14,2010,6.0
148,Maine 2nd District - Michaud v. Levesque,Critical Insights,"Michaud 43, Levesque 30",13,2010-10-14,2010,6.0
149,Washington 3rd District - Herrera vs. Heck,SurveyUSA,"Herrera 53, Heck 42",11,2010-10-14,2010,12.0
150,Pennsylvania 12th District - Burns vs. Critz,Susquehanna,"Critz 43, Burns 36",7,2010-10-14,2010,7.0
151,Pennsylvania 10th District - Marino vs. Carney,Times Leader/Critical Insights,"Marino 44, Carney 38",6,2010-10-14,2010,6.0
152,Pennsylvania 11th District - Barletta vs. Kanjorski,Times Leader/Critical Insights,"Barletta 43, Kanjorski 41",2,2010-10-14,2010,6.0
153,Pennsylvania 8th District - Fitzpatrick vs. Murphy,Monmouth University,"Fitzpatrick 51, Murphy 46",5,2010-10-14,2010,13.0
154,Pennsylvania 7th District - Meehan vs. Lentz,Franklin & Marshall,"Meehan 34, Lentz 31",3,2010-10-14,2010,8.0
155,Oregon 4th District - DeFazio v. Robinson,CTA/Wilson Research Strategies (R),"DeFazio 48, Robinson 42",6,2010-10-15,2010,8.0
156,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 51, Griffith 41",10,2010-10-15,2010,12.0
157,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Kuster 43, Bass 36",7,2010-10-15,2010,0.0
158,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 48, Shea-Porter 36",12,2010-10-15,2010,0.0
159,Minnesota 1st District - Demmer vs. Walz,SurveyUSA,"Walz 47, Demmer 42",5,2010-10-16,2010,12.0
160,Pennsylvania 15th District - Dent vs. Callahan,Morning Call,"Dent 49, Callahan 32",17,2010-10-16,2010,0.0
161,New York 25th District - Buerkle vs. Maffei,Siena,"Maffei 51, Buerkle 39",12,2010-10-17,2010,12.0
162,Virginia 5th District - Hurt vs. Perriello,Roanoke College,"Hurt 46, Perriello 40",6,2010-10-18,2010,6.0
163,Arizona 3rd District - Quayle vs. Hulburd,Daily Kos/PPP (D),"Hulburd 46, Quayle 44",2,2010-10-18,2010,9.0
164,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Monmouth,"Saccone 49, Lamb 46",3,2011-02-15,2011,13.0
165,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Gravis,"Saccone 46, Lamb 40",6,2011-02-18,2011,7.0
166,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Emerson,"Saccone 45, Lamb 48",3,2011-03-05,2011,10.0
167,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Gravis,"Saccone 45, Lamb 42",3,2011-03-07,2011,7.0
168,New York 26th District Special Election - Corwin vs. Hochul vs. Davis,PPP (D),"Hochul 42, Corwin 36, Davis 13",6,2011-05-23,2011,9.0
169,New York 9th District Special Election - Turner vs. Weprin,Siena,"Weprin 48, Turner 42",6,2011-08-10,2011,12.0
170,New York 9th District Special Election - Turner vs. Weprin,Magellan Strategies (R),"Turner 45, Weprin 40",5,2011-09-06,2011,7.0
171,New York 9th District Special Election - Turner vs. Weprin,Siena,"Turner 50, Weprin 44",6,2011-09-09,2011,12.0
172,New York 9th District Special Election - Turner vs. Weprin,PPP (D),"Turner 47, Weprin 41",6,2011-09-12,2011,9.0
173,Nevada 2nd District Special Election - Amodei vs. Marshall,PPP (D),"Amodei 50, Marshall 37",13,2011-09-12,2011,9.0
174,Oregon 1st District Special Election - Cornilles vs. Bonamici,SurveyUSA,"Bonamici 50, Cornilles 39",11,2012-01-05,2012,12.0
175,Illinois 16th District - Republican Primary,WeAskAmerica,"Manzullo 43, Kinzinger 42",1,2012-03-14,2012,0.0
176,Pennsylvania 12th District - Democratic Primary,Susquehanna,"Altmire 43, Critz 39",4,2012-04-18,2012,7.0
177,New Hampshire 1st District - Guinta vs. Shea-Porter,PPP (D),"Shea-Porter 47, Guinta 43",4,2012-05-17,2012,9.0
178,New Hampshire 2nd District - Bass vs. Kuster,PPP (D),"Bass 42, Kuster 42",0,2012-05-17,2012,9.0
179,Rhode Island 1st District - Democratic Primary,WPRI/Fleming,"Cicilline 40, Gemma 36",4,2012-05-17,2012,10.0
180,Arizona 8th District Special Election - Kelly vs. Barber,PPP (D),"Barber 53, Kelly 41",12,2012-06-11,2012,9.0
181,Utah 4th District - Love vs. Matheson,Deseret News/KSL,"Matheson 53, Love 38",15,2012-06-25,2012,0.0
182,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Bass 42, Kuster 37",5,2012-08-15,2012,0.0
183,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Shea-Porter 45, Guinta 43",2,2012-08-15,2012,0.0
184,New York 27th District - Collins vs. Hochul,Siena,"Collins 47, Hochul 45",2,2012-08-19,2012,12.0
185,New Mexico 1st District - Arnold-Jones vs. Grisham,Albuquerque Journal,"Grisham 46, Arnold-Jones 34",12,2012-09-10,2012,0.0
186,New York 21st District - Doheny vs. Owens,Siena,"Owens 49, Doheny 36",13,2012-09-10,2012,12.0
187,New York 24th District - Buerkle vs. Maffei,Siena,"Buerkle 43, Maffei 43",0,2012-09-13,2012,12.0
188,New York 1st District - Altschuler vs. Bishop,Siena,"Bishop 52, Altschuler 39",13,2012-09-13,2012,12.0
189,New York 18th District - Hayworth vs. Maloney,Siena,"Hayworth 46, Maloney 33",13,2012-09-18,2012,12.0
190,Washington 1st District - Koster vs. DelBene,SurveyUSA,"Koster 46, DelBene 42",4,2012-09-19,2012,12.0
191,Michigan 1st District - Benishek vs. McDowell,PPP (D),"McDowell 44, Benishek 42",2,2012-09-20,2012,9.0
192,Nevada 4th District - Tarkanian vs. Horsford,LVRJ/SurveyUSA,"Tarkanian 45, Horsford 42",3,2012-09-21,2012,12.0
193,New York 19th District - Gibson vs. Schreibman,Siena,"Gibson 52, Schreibman 36",16,2012-09-21,2012,12.0
194,Arkansas 1st District - Crawford vs. Ellington,Talk Business Poll,"Crawford 53, Ellington 28",25,2012-09-24,2012,0.0
195,Nebraska 2nd District - Terry vs. Ewing,Omaha World-Herald,"Terry 51, Ewing 38",13,2012-09-24,2012,0.0
196,Arkansas 4th District - Cotton vs. Jeffress,Talk Business Poll,"Cotton 51, Jeffress 22",29,2012-09-24,2012,0.0
197,Illinois 8th District - Walsh vs. Duckworth,PPP (D),"Duckworth 52, Walsh 38",14,2012-09-25,2012,9.0
198,New York 11th District - Grimm vs. Murphy,Siena,"Grimm 48, Murphy 38",10,2012-09-25,2012,12.0
199,New York 25th District - Brooks vs. Slaughter,Siena,"Slaughter 52, Brooks 42",10,2012-09-27,2012,12.0
200,Washington 6th District - Driscoll vs. Kilmer,SurveyUSA,"Kilmer 52, Driscoll 37",15,2012-09-28,2012,12.0
201,Massachusetts 6th District - Tisei vs. Tierney,Boston Globe,"Tisei 37, Tierney 31",6,2012-10-01,2012,0.0
202,Rhode Island 1st District - Doherty vs. Cicilline,WPRI/Fleming,"Cicilline 44, Doherty 38",6,2012-10-02,2012,10.0
203,Utah 4th District - Love vs. Matheson,Deseret News/KSL,"Love 49, Matheson 43",6,2012-10-02,2012,0.0
204,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Kuster 42, Bass 41",1,2012-10-04,2012,0.0
205,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 38, Shea-Porter 47",9,2012-10-04,2012,0.0
206,New Jersey 3rd District - Runyan vs. Adler,Richard Stockton Col.,"Runyan 49, Adler 39",10,2012-10-05,2012,0.0
207,New York 27th District - Collins vs. Hochul,Siena,"Collins 47, Hochul 47",0,2012-10-07,2012,12.0
208,Rhode Island 1st District - Doherty vs. Cicilline,Brown University,"Cicilline 46, Doherty 40",6,2012-10-10,2012,5.0
209,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Kuster 38, Bass 35",3,2012-10-11,2012,0.0
210,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 45, Shea-Porter 35",10,2012-10-11,2012,0.0
211,Illinois 8th District - Walsh vs. Duckworth,WeAskAmerica,"Duckworth 45, Walsh 48",3,2012-10-12,2012,0.0
