,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
1189,Generic Congressional Vote,PPP (D),"Republicans 45, Democrats 42",Republicans +3,2010-08-15,2010
1194,Generic Congressional Vote,Gallup,"Republicans 50, Democrats 43",Republicans +7,2010-08-16,2010
1195,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 36",Republicans +12,2010-08-16,2010
1244,Generic Congressional Vote,Associated Press/GfK,"Republicans 49, Democrats 45",Republicans +4,2010-08-18,2010
1255,Generic Congressional Vote,Time,"Republicans 43, Democrats 37",Republicans +6,2010-08-19,2010
1279,Generic Congressional Vote,Gallup,"Republicans 47, Democrats 44",Republicans +3,2010-08-23,2010
1280,Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 38",Republicans +9,2010-08-23,2010
1288,Generic Congressional Vote,Reuters/Ipsos,"Republicans 46, Democrats 45",Republicans +1,2010-08-25,2010
1313,Generic Congressional Vote,Newsweek,"Republicans 45, Democrats 45",Tie,2010-08-27,2010
1326,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 39",Republicans +6,2010-08-30,2010
1327,Generic Congressional Vote,Gallup,"Republicans 51, Democrats 41",Republicans +10,2010-08-30,2010
1363,Generic Congressional Vote,USA Today/Gallup,"Republicans 49, Democrats 43",Republicans +6,2010-09-03,2010
1379,Generic Congressional Vote,FOX News,"Republicans 46, Democrats 37",Republicans +9,2010-09-03,2010
1389,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 36",Republicans +12,2010-09-06,2010
1390,Generic Congressional Vote,CNN/Opinion Research,"Republicans 52, Democrats 45",Republicans +7,2010-09-06,2010
1405,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-09-07,2010
1406,Generic Congressional Vote,ABC News/Wash Post,"Republicans 53, Democrats 40",Republicans +13,2010-09-07,2010
1407,Generic Congressional Vote,National Journal/FD,"Republicans 36, Democrats 38",Democrats +2,2010-09-07,2010
1418,Generic Congressional Vote,Democracy Corps (D),"Republicans 49, Democrats 42",Republicans +7,2010-09-08,2010
1427,Generic Congressional Vote,Quinnipiac,"Republicans 42, Democrats 37",Republicans +5,2010-09-09,2010
1460,Generic Congressional Vote,Gallup,"Republicans 48, Democrats 43",Republicans +5,2010-09-13,2010
1461,Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 38",Republicans +9,2010-09-13,2010
1510,Generic Congressional Vote,PPP (D),"Republicans 44, Democrats 45",Democrats +1,2010-09-15,2010
1513,Generic Congressional Vote,CBS News/NY Times,"Republicans 40, Democrats 38",Republicans +2,2010-09-15,2010
1518,Generic Congressional Vote,Democracy Corps (D),"Republicans 50, Democrats 40",Republicans +10,2010-09-15,2010
1536,Generic Congressional Vote,Associated Press/GfK,"Republicans 53, Democrats 43",Republicans +10,2010-09-16,2010
1542,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 43, Democrats 43",Tie,2010-09-16,2010
1557,Generic Congressional Vote,FOX News,"Republicans 46, Democrats 40",Republicans +6,2010-09-18,2010
1584,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 38",Republicans +10,2010-09-20,2010
1589,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 46",Democrats +1,2010-09-20,2010
1601,Generic Congressional Vote,Reuters/Ipsos,"Republicans 45, Democrats 46",Democrats +1,2010-09-21,2010
1629,Generic Congressional Vote,McClatchy/Marist,"Republicans 47, Democrats 45",Republicans +2,2010-09-22,2010
1641,Generic Congressional Vote,Pew Research,"Republicans 50, Democrats 43",Republicans +7,2010-09-23,2010
1661,Generic Congressional Vote,POS (R),"Republicans 44, Democrats 39",Republicans +5,2010-09-23,2010
1676,Generic Congressional Vote,CNN/Opinion Research,"Republicans 53, Democrats 44",Republicans +9,2010-09-24,2010
1700,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 47, Democrats 42",Republicans +5,2010-09-27,2010
1701,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-09-27,2010
1702,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 40",Republicans +6,2010-09-27,2010
1793,Generic Congressional Vote,FOX News,"Republicans 44, Democrats 38",Republicans +6,2010-09-30,2010
1820,Generic Congressional Vote,Newsweek,"Republicans 43, Democrats 48",Democrats +5,2010-10-01,2010
1849,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 53, Democrats 40",Republicans +13,2010-10-04,2010
1850,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 56, Democrats 38",Republicans +18,2010-10-04,2010
1851,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 42",Republicans +3,2010-10-04,2010
1893,Generic Congressional Vote,ABC News/Wash Post,"Republicans 49, Democrats 43",Republicans +6,2010-10-05,2010
1957,Generic Congressional Vote,Democracy Corps (D),"Republicans 49, Democrats 43",Republicans +6,2010-10-06,2010
1979,Generic Congressional Vote,CBS News,"Republicans 45, Democrats 37",Republicans +8,2010-10-07,2010
1991,Generic Congressional Vote,CNN/Opinion Research,"Republicans 52, Democrats 45",Republicans +7,2010-10-08,2010
2013,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 56, Democrats 39",Republicans +17,2010-10-11,2010
2014,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 53, Democrats 41",Republicans +12,2010-10-11,2010
2015,Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 39",Republicans +8,2010-10-11,2010
2033,Generic Congressional Vote,Bloomberg,"Republicans 40, Democrats 42",Democrats +2,2010-10-12,2010
2072,Generic Congressional Vote,Reuters/Ipsos,"Republicans 48, Democrats 44",Republicans +4,2010-10-13,2010
2110,Generic Congressional Vote,FOX News,"Republicans 48, Democrats 39",Republicans +9,2010-10-14,2010
2166,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 56, Democrats 39",Republicans +17,2010-10-18,2010
2167,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 53, Democrats 42",Republicans +11,2010-10-18,2010
2168,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 39",Republicans +9,2010-10-18,2010
2176,Generic Congressional Vote,Associated Press/GfK,"Republicans 50, Democrats 43",Republicans +7,2010-10-20,2010
2178,Generic Congressional Vote,Pew Research,"Republicans 50, Democrats 40",Republicans +10,2010-10-21,2010
2180,Generic Congressional Vote,Newsweek,"Republicans 45, Democrats 48",Democrats +3,2010-10-22,2010
2186,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 55, Democrats 41",Republicans +14,2010-10-25,2010
2187,Generic Congressional Vote,Rasmussen Reports,"Republicans 51, Democrats 39",Republicans +12,2010-10-25,2010
2188,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 47, Democrats 42",Republicans +5,2010-10-25,2010
2190,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 52, Democrats 43",Republicans +9,2010-10-25,2010
2196,Generic Congressional Vote,CBS News/NY Times,"Republicans 49, Democrats 43",Republicans +6,2010-10-27,2010
2198,Generic Congressional Vote,McClatchy/Marist,"Republicans 49, Democrats 43",Republicans +6,2010-10-27,2010
2200,Generic Congressional Vote,Bloomberg,"Republicans 47, Democrats 44",Republicans +3,2010-10-28,2010
2201,Generic Congressional Vote,FOX News,"Republicans 50, Democrats 37",Republicans +13,2010-10-29,2010
2207,Generic Congressional Vote,ABC News/Wash Post,"Republicans 49, Democrats 45",Republicans +4,2010-10-31,2010
2208,Generic Congressional Vote,Pew Research,"Republicans 48, Democrats 42",Republicans +6,2010-10-31,2010
2209,Generic Congressional Vote,CNN/Opinion Research,"Republicans 52, Democrats 42",Republicans +10,2010-10-31,2010
2211,Generic Congressional Vote,Reuters/Ipsos,"Republicans 50, Democrats 44",Republicans +6,2010-11-01,2010
2212,Generic Congressional Vote,Rasmussen Reports,"Republicans 51, Democrats 39",Republicans +12,2010-11-01,2010
2213,Generic Congressional Vote,Gallup,"Republicans 55, Democrats 40",Republicans +15,2010-11-01,2010
2355,2018 Generic Congressional Vote,CNN,"Democrats 49, Republicans 44",Democrats +5,2011-01-21,2011
2358,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 51, Republicans 39",Democrats +12,2011-01-22,2011
2364,2018 Generic Congressional Vote,FOX News,"Democrats 44, Republicans 38",Democrats +6,2011-01-24,2011
2367,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",Democrats +8,2011-01-24,2011
2369,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 41, Republicans 37",Democrats +4,2011-01-24,2011
2378,2018 Generic Congressional Vote,Quinnipiac,"Democrats 51, Republicans 38",Democrats +13,2011-01-24,2011
2384,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 37",Democrats +8,2011-01-29,2011
2392,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 37",Democrats +5,2011-01-31,2011
2393,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",Democrats +6,2011-01-31,2011
2398,2018 Generic Congressional Vote,Monmouth,"Democrats 47, Republicans 45",Democrats +2,2011-01-31,2011
2402,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 46, Republicans 41",Democrats +5,2011-02-06,2011
2411,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",Democrats +7,2011-02-07,2011
2412,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 40",Democrats +9,2011-02-07,2011
2416,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",Democrats +6,2011-02-07,2011
2420,2018 Generic Congressional Vote,Marist,"Democrats 49, Republicans 38",Democrats +11,2011-02-09,2011
2434,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 38",Democrats +4,2011-02-14,2011
2435,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 39, Republicans 30",Democrats +9,2011-02-14,2011
2437,2018 Generic Congressional Vote,PPP (D),"Democrats 49, Republicans 41",Democrats +8,2011-02-14,2011
2452,2018 Generic Congressional Vote,Quinnipiac,"Democrats 53, Republicans 38",Democrats +15,2011-02-20,2011
2458,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 41, Republicans 36",Democrats +5,2011-02-21,2011
2459,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 35",Democrats +8,2011-02-21,2011
2463,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",Democrats +8,2011-02-21,2011
2465,2018 Generic Congressional Vote,Marist,"Democrats 46, Republicans 39",Democrats +7,2011-02-23,2011
2470,2018 Generic Congressional Vote,CNN,"Democrats 54, Republicans 38",Democrats +16,2011-02-26,2011
2478,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 40, Republicans 38",Democrats +2,2011-02-28,2011
2481,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",Democrats +6,2011-02-28,2011
2483,2018 Generic Congressional Vote,USA Today/Suffolk,"Democrats 47, Republicans 32",Democrats +15,2011-03-01,2011
2494,2018 Generic Congressional Vote,Monmouth,"Democrats 50, Republicans 41",Democrats +9,2011-03-07,2011
2500,2018 Generic Congressional Vote,Quinnipiac,"Democrats 48, Republicans 38",Democrats +10,2011-03-07,2011
2501,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",Democrats +6,2011-03-07,2011
2508,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 40",Democrats +6,2011-03-08,2011
2509,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",Democrats +7,2011-03-08,2011
2738,Generic Congressional Vote,Rasmussen Reports,"Republicans 42, Democrats 40",Republicans +2,2011-05-23,2011
2757,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 37",Republicans +6,2011-05-31,2011
2765,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 46",Democrats +1,2011-06-02,2011
2781,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 37",Republicans +6,2011-06-07,2011
2824,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",Republicans +5,2011-06-14,2011
2847,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 37",Republicans +6,2011-06-20,2011
2873,Generic Congressional Vote,Democracy Corps (D),"Republicans 47, Democrats 44",Republicans +3,2011-06-27,2011
2883,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",Republicans +7,2011-06-28,2011
2908,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",Republicans +3,2011-07-05,2011
2926,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2011-07-11,2011
2950,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2011-07-18,2011
2953,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",Republicans +6,2011-07-18,2011
2986,Generic Congressional Vote,PPP (D),"Democrats 46, Republicans 44",Democrats +2,2011-07-21,2011
2992,Generic Congressional Vote,PPP (D),"Republicans 44, Democrats 46",Democrats +2,2011-07-21,2011
3010,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2011-07-26,2011
3015,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",Republicans +6,2011-07-26,2011
3032,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 39",Republicans +4,2011-08-01,2011
3034,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 43",Republicans +4,2011-08-01,2011
3067,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 41",Republicans +2,2011-08-09,2011
3100,Generic Congressional Vote,USA Today/Gallup,"Democrats 51, Republicans 44",Democrats +7,2011-08-11,2011
3101,Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 47",Republicans +1,2011-08-12,2011
3105,Generic Congressional Vote,Rasmussen Reports,"Democrats 37, Republicans 44",Republicans +7,2011-08-15,2011
3143,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",Republicans +6,2011-08-23,2011
3172,Generic Congressional Vote,Pew Research,"Democrats 48, Republicans 44",Democrats +4,2011-08-25,2011
3193,Generic Congressional Vote,Rasmussen Reports,"Democrats 36, Republicans 45",Republicans +9,2011-08-30,2011
3198,Generic Congressional Vote,Quinnipiac,"Democrats 38, Republicans 38",Tie,2011-08-31,2011
3224,Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 41, Republicans 40",Democrats +1,2011-09-06,2011
3232,Generic Congressional Vote,Rasmussen Reports,"Democrats 37, Republicans 44",Republicans +7,2011-09-06,2011
3257,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",Republicans +5,2011-09-13,2011
3308,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",Republicans +3,2011-09-20,2011
3343,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 42",Republicans +2,2011-09-27,2011
3406,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",Republicans +6,2011-10-04,2011
3415,Generic Congressional Vote,Quinnipiac,"Democrats 39, Republicans 39",Tie,2011-10-05,2011
3450,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",Republicans +5,2011-10-11,2011
3462,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 40",Democrats +8,2011-10-12,2011
3504,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",Republicans +3,2011-10-18,2011
3528,Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 46",Tie,2011-10-20,2011
3541,Generic Congressional Vote,Rasmussen Reports,"Democrats 36, Republicans 44",Republicans +8,2011-10-25,2011
3590,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",Republicans +3,2011-11-01,2011
3606,Generic Congressional Vote,Quinnipiac,"Democrats 42, Republicans 34",Democrats +8,2011-11-02,2011
3617,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 43",Democrats +5,2011-11-04,2011
3635,Generic Congressional Vote,Rasmussen Reports,"Democrats 37, Republicans 44",Republicans +7,2011-11-08,2011
3684,Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 44, Republicans 43",Democrats +1,2011-11-14,2011
3698,Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 41",Tie,2011-11-15,2011
3743,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 41",Republicans +1,2011-11-22,2011
3748,Generic Congressional Vote,Quinnipiac,"Democrats 40, Republicans 36",Democrats +4,2011-11-23,2011
3762,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",Republicans +5,2011-11-29,2011
3796,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",Republicans +5,2011-12-06,2011
3854,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",Republicans +3,2011-12-13,2011
3874,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 42",Democrats +6,2011-12-14,2011
3925,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",Republicans +3,2011-12-20,2011
3944,Generic Congressional Vote,PPP (D),"Democrats 46, Republicans 44",Democrats +2,2011-12-22,2011
3949,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",Republicans +3,2011-12-27,2011
3969,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",Republicans +5,2012-01-03,2012
4015,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",Republicans +6,2012-01-10,2012
4016,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 44",Democrats +4,2012-01-10,2012
4056,Generic Congressional Vote,Democracy Corps (D),"Democrats 47, Republicans 44",Democrats +3,2012-01-13,2012
4084,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",Republicans +6,2012-01-17,2012
4133,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",Republicans +3,2012-01-24,2012
4196,Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 40",Democrats +1,2012-01-30,2012
4238,Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 43",Republicans +2,2012-02-06,2012
4253,Generic Congressional Vote,Reuters/Ipsos,"Republicans 44, Democrats 46",Democrats +2,2012-02-07,2012
4259,Generic Congressional Vote,Reuters/Ipsos,"Democrats 46, Republicans 44",Democrats +2,2012-02-07,2012
4300,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 41",Republicans +2,2012-02-13,2012
4336,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 47",Democrats +2,2012-02-15,2012
4369,Generic Congressional Vote,Rasmussen Reports,"Republicans 42, Democrats 41",Republicans +1,2012-02-20,2012
4404,Generic Congressional Vote,Quinnipiac,"Republicans 40, Democrats 38",Republicans +2,2012-02-22,2012
4459,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 39",Republicans +4,2012-02-27,2012
4466,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 45, Democrats 46",Democrats +1,2012-02-27,2012
4506,Generic Congressional Vote,USA Today/Gallup,"Republicans 47, Democrats 47",Tie,2012-03-02,2012
4545,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 41",Republicans +3,2012-03-05,2012
4578,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2012-03-12,2012
4620,Generic Congressional Vote,Reuters/Ipsos,"Republicans 43, Democrats 47",Democrats +4,2012-03-14,2012
4621,Generic Congressional Vote,Bloomberg,"Republicans 46, Democrats 44",Republicans +2,2012-03-14,2012
4646,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 40",Republicans +4,2012-03-19,2012
4685,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",Republicans +5,2012-03-26,2012
4707,Generic Congressional Vote,McClatchy/Marist,"Republicans 47, Democrats 43",Republicans +4,2012-03-27,2012
4750,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 39",Republicans +6,2012-04-02,2012
4779,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 40",Republicans +5,2012-04-09,2012
4823,Generic Congressional Vote,Reuters/Ipsos,"Republicans 41, Democrats 42",Democrats +1,2012-04-16,2012
4824,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2012-04-16,2012
4850,Generic Congressional Vote,Quinnipiac,"Republicans 39, Democrats 40",Democrats +1,2012-04-19,2012
4867,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",Republicans +3,2012-04-23,2012
4895,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",Republicans +3,2012-04-30,2012
