,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
138,Iowa Senate - Grassley vs. Conlin,Rasmussen Reports,"Grassley 53, Conlin 40",Grassley +13,2010-05-03,2010
139,Kentucky Senate - Paul vs. Conway,Rasmussen Reports,"Paul 47, Conway 38",Paul +9,2010-05-03,2010
142,Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 42, Specter 48",Specter +6,2010-05-03,2010
145,Ohio Senate - Democratic Primary,Quinnipiac,"Fisher 43, Brunner 23",Fisher +20,2010-05-03,2010
149,Kentucky Senate - Grayson vs. Conway,Rasmussen Reports,"Grayson 43, Conway 38",Grayson +5,2010-05-03,2010
151,Kentucky Senate - Grayson vs. Mongiardo,Rasmussen Reports,"Grayson 45, Mongiardo 31",Grayson +14,2010-05-03,2010
152,Kentucky Senate - Paul vs. Mongiardo,Rasmussen Reports,"Paul 48, Mongiardo 32",Paul +16,2010-05-03,2010
153,Kentucky Senate - Democratic Primary,PPP (D),"Mongiardo 36, Conway 27",Mongiardo +9,2010-05-04,2010
154,Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Crist 38, Rubio 34, Meek 17",Crist +4,2010-05-04,2010
155,Missouri Senate - Blunt vs. Carnahan,Rasmussen Reports,"Blunt 50, Carnahan 42",Blunt +8,2010-05-04,2010
156,Pennsylvania Senate - Democratic Primary,Quinnipiac,"Sestak 39, Specter 47",Specter +8,2010-05-04,2010
158,Kentucky Senate - Democratic Primary,PPP (D),"Conway 27, Mongiardo 36",Mongiardo +9,2010-05-04,2010
159,Kentucky Senate - Republican Primary,PPP (D),"Paul 46, Grayson 28",Paul +18,2010-05-04,2010
162,Louisiana Senate - Vitter vs. Melancon,SMOR/Grigsby (R),"Vitter 49, Melancon 31",Vitter +18,2010-05-04,2010
163,Kentucky Senate - Grayson vs. Mongiardo,PPP (D),"Grayson 43, Mongiardo 35",Grayson +8,2010-05-05,2010
164,Kentucky Senate - Paul vs. Mongiardo,PPP (D),"Paul 42, Mongiardo 38",Paul +4,2010-05-05,2010
165,Kentucky Senate - Grayson vs. Conway,PPP (D),"Grayson 42, Conway 34",Grayson +8,2010-05-05,2010
166,Kentucky Senate - Paul vs. Conway,PPP (D),"Paul 41, Conway 40",Paul +1,2010-05-05,2010
167,Colorado Senate - Buck vs. Romanoff,Rasmussen Reports,"Buck 45, Romanoff 40",Buck +5,2010-05-05,2010
168,Colorado Senate - Norton vs. Romanoff,Rasmussen Reports,"Norton 46, Romanoff 39",Norton +7,2010-05-05,2010
169,Colorado Senate - Norton vs. Bennet,Rasmussen Reports,"Norton 48, Bennet 41",Norton +7,2010-05-05,2010
170,Colorado Senate - Buck vs. Bennet,Rasmussen Reports,"Bennet 41, Buck 48",Buck +7,2010-05-05,2010
171,Washington Senate - Didier vs. Murray,Rasmussen Reports,"Murray 51, Didier 36",Murray +15,2010-05-05,2010
172,Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 48, Rossi 46",Murray +2,2010-05-05,2010
174,Washington Senate - Rossi vs. Murray,Elway Poll,"Murray 51, Rossi 34",Murray +17,2010-05-05,2010
175,Washington Senate - Benton vs. Murray,Rasmussen Reports,"Murray 52, Benton 38",Murray +14,2010-05-05,2010
176,Washington Senate - Didier vs. Murray,Elway Poll,"Murray 50, Didier 24",Murray +26,2010-05-05,2010
179,Washington Senate - Benton vs. Murray,Elway Poll,"Murray 51, Benton 27",Murray +24,2010-05-05,2010
180,Connecticut Senate - McMahon vs. Blumenthal,Rasmussen Reports,"Blumenthal 52, McMahon 39",Blumenthal +13,2010-05-06,2010
181,Kentucky Senate - Republican Primary,Kentucky Poll,"Paul 44, Grayson 32",Paul +12,2010-05-06,2010
182,Kentucky Senate - Democratic Primary,Kentucky Poll,"Conway 32, Mongiardo 39",Mongiardo +7,2010-05-06,2010
185,Arizona Senate - McCain vs. Glassman,R2000/Daily Kos (D),"McCain 48, Glassman 35",McCain +13,2010-05-06,2010
186,Connecticut Senate - Simmons vs. Blumenthal,Rasmussen Reports,"Blumenthal 55, Simmons 32",Blumenthal +23,2010-05-06,2010
187,North Carolina Senate - Burr vs. Cunningham,Rasmussen Reports,"Burr 50, Cunningham 37",Burr +13,2010-05-06,2010
188,North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 48, Marshall 40",Burr +8,2010-05-06,2010
190,Florida Senate - Rubio vs. Meek vs. Crist,Mason-Dixon,"Crist 38, Rubio 32, Meek 19",Crist +6,2010-05-06,2010
191,North Carolina Senate - Dem Runoff (6/22),Rasmussen Reports,"Marshall 42, Cunningham 37",Marshall +5,2010-05-06,2010
192,Arizona Senate - Hayworth vs. Glassman,R2000/Daily Kos (D),"Hayworth 43, Glassman 42",Hayworth +1,2010-05-06,2010
193,Connecticut Senate - Schiff vs. Blumenthal,Rasmussen Reports,"Blumenthal 54, Schiff 29",Blumenthal +25,2010-05-06,2010
194,Arizona Senate - Republican Primary,R2000/Daily Kos (D),"McCain 48, Hayworth 36",McCain +12,2010-05-06,2010
200,Kentucky Senate - Democratic Primary,Kentucky Poll,"Mongiardo 39, Conway 32",Mongiardo +7,2010-05-06,2010
202,Arkansas Senate - Boozman vs. Halter,Mason-Dixon,"Boozman 56, Halter 32",Boozman +24,2010-05-07,2010
203,Arkansas Senate - Boozman vs. Lincoln,Mason-Dixon,"Boozman 52, Lincoln 35",Boozman +17,2010-05-07,2010
204,Arkansas Senate - Democratic Primary,Mason-Dixon,"Lincoln 44, Halter 32",Lincoln +12,2010-05-07,2010
207,Iowa Senate - Grassley vs. Conlin,Research 2000,"Grassley 49, Conlin 40",Grassley +9,2010-05-07,2010
208,Indiana Senate - Coats vs. Ellsworth,Rasmussen Reports,"Coats 51, Ellsworth 36",Coats +15,2010-05-07,2010
210,Arkansas Senate - Republican Primary,Mason-Dixon,"Boozman 48, Holt 17, Baker 11",Boozman +31,2010-05-07,2010
211,Ohio Senate - Portman vs. Fisher,Rasmussen Reports,"Fisher 43, Portman 42",Fisher +1,2010-05-07,2010
212,Kentucky Senate - Republican Primary,Magellan Strategies (R),"Paul 43, Grayson 28",Paul +15,2010-05-07,2010
214,Illinois Senate - Giannoulias vs. Kirk,R2000/Daily Kos (D),"Kirk 41, Giannoulias 38",Kirk +3,2010-05-07,2010
215,Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 44, Specter 42",Sestak +2,2010-05-08,2010
219,Pennsylvania Senate - Democratic Primary,Rasmussen Reports,"Sestak 47, Specter 42",Sestak +5,2010-05-10,2010
227,North Carolina Senate - Burr vs. Marshall,PPP (D),"Burr 43, Marshall 42",Burr +1,2010-05-11,2010
229,California Senate - Republican Primary,SurveyUSA,"Fiorina 24, Campbell 35, DeVore 15",Campbell +11,2010-05-11,2010
234,Pennsylvania Senate - Specter vs. Toomey,Rasmussen Reports,"Toomey 50, Specter 38",Toomey +12,2010-05-11,2010
235,Pennsylvania Senate - Sestak vs. Toomey,Rasmussen Reports,"Toomey 42, Sestak 40",Toomey +2,2010-05-11,2010
236,New York Senate - DioGuardi vs. Gillibrand,Marist,"Gillibrand 50, DioGuardi 30",Gillibrand +20,2010-05-11,2010
237,New York Senate - Blakeman vs. Gillibrand,Marist,"Gillibrand 52, Blakeman 28",Gillibrand +24,2010-05-11,2010
238,North Carolina Senate - Burr vs. Cunningham,PPP (D),"Burr 44, Cunningham 39",Burr +5,2010-05-11,2010
242,New York Senate - Republican Primary,Marist,"DioGuardi 31, Blakeman 13, Malpass 12",DioGuardi +18,2010-05-11,2010
243,California Senate - Republican Primary,SurveyUSA,"Campbell 35, Fiorina 24, DeVore 15",Campbell +11,2010-05-11,2010
244,New York Senate - Malpass vs. Gillibrand,Marist,"Gillibrand 52, Malpass 28",Gillibrand +24,2010-05-11,2010
245,Pennsylvania Senate - Democratic Primary,Quinnipiac,"Sestak 42, Specter 44",Specter +2,2010-05-12,2010
247,North Carolina Senate - Dem Runoff (6/22),PPP (D),"Marshall 36, Cunningham 36",Tie,2010-05-12,2010
254,Pennsylvania Senate - Specter vs. Toomey,Franklin & Marshall,"Toomey 35, Specter 33",Toomey +2,2010-05-12,2010
255,Pennsylvania Senate - Democratic Primary,Franklin & Marshall,"Sestak 38, Specter 36",Sestak +2,2010-05-12,2010
261,Pennsylvania Senate - Sestak vs. Toomey,Franklin & Marshall,"Toomey 29, Sestak 28",Toomey +1,2010-05-12,2010
262,Kentucky Senate - Grayson vs. Mongiardo,R2000/Daily Kos (D),"Grayson 42, Mongiardo 36",Grayson +6,2010-05-13,2010
263,Kentucky Senate - Paul vs. Mongiardo,R2000/Daily Kos (D),"Paul 43, Mongiardo 38",Paul +5,2010-05-13,2010
264,Kentucky Senate - Grayson vs. Conway,R2000/Daily Kos (D),"Grayson 43, Conway 35",Grayson +8,2010-05-13,2010
265,Kentucky Senate - Paul vs. Conway,R2000/Daily Kos (D),"Paul 42, Conway 39",Paul +3,2010-05-13,2010
266,Kentucky Senate - Republican Primary,R2000/Daily Kos (D),"Paul 45, Grayson 35",Paul +10,2010-05-13,2010
267,Arkansas Senate - Boozman vs. Halter,R2000/Daily Kos (D),"Boozman 50, Halter 41",Boozman +9,2010-05-13,2010
268,Arkansas Senate - Republican Primary,R2000/Daily Kos (D),"Boozman 46, Holt 19, Baker 12",Boozman +27,2010-05-13,2010
269,Arkansas Senate - Boozman vs. Lincoln,R2000/Daily Kos (D),"Boozman 54, Lincoln 40",Boozman +14,2010-05-13,2010
270,Arkansas Senate - Democratic Primary,R2000/Daily Kos (D),"Lincoln 46, Halter 37",Lincoln +9,2010-05-13,2010
272,Pennsylvania Senate - Democratic Primary,Suffolk,"Sestak 49, Specter 40",Sestak +9,2010-05-13,2010
273,Kentucky Senate - Republican Primary,SurveyUSA,"Paul 49, Grayson 33",Paul +16,2010-05-13,2010
274,Kentucky Senate - Democratic Primary,R2000/Daily Kos (D),"Conway 36, Mongiardo 39",Mongiardo +3,2010-05-13,2010
275,Kentucky Senate - Democratic Primary,SurveyUSA,"Conway 37, Mongiardo 38",Mongiardo +1,2010-05-13,2010
277,Nevada Senate - Republican Primary,LVRJ/Mason-Dixon,"Lowden 30, Angle 25, Tarkanian 22",Lowden +5,2010-05-13,2010
278,Kentucky Senate - Democratic Primary,SurveyUSA,"Mongiardo 38, Conway 37",Mongiardo +1,2010-05-13,2010
279,Kentucky Senate - Democratic Primary,R2000/Daily Kos (D),"Mongiardo 39, Conway 36",Mongiardo +3,2010-05-13,2010
282,Pennsylvania Senate - Specter vs. Toomey,Quinnipiac,"Toomey 47, Specter 40",Toomey +7,2010-05-13,2010
284,Kansas Senate - Tiahrt vs. Haley,Rasmussen Reports,"Tiahrt 58, Haley 27",Tiahrt +31,2010-05-13,2010
285,Kansas Senate - Moran vs. Haley,Rasmussen Reports,"Moran 60, Haley 25",Moran +35,2010-05-13,2010
287,New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 50, Hodes 38",Ayotte +12,2010-05-13,2010
288,Pennsylvania Senate - Sestak vs. Toomey,Quinnipiac,"Toomey 42, Sestak 40",Toomey +2,2010-05-13,2010
289,Pennsylvania Senate - Democratic Primary,R2000/Daily Kos (D),"Sestak 45, Specter 43",Sestak +2,2010-05-14,2010
291,California Senate - Boxer vs. Fiorina,Rasmussen Reports,"Boxer 45, Fiorina 38",Boxer +7,2010-05-14,2010
292,California Senate - Boxer vs. DeVore,Rasmussen Reports,"Boxer 46, DeVore 40",Boxer +6,2010-05-14,2010
293,California Senate - Boxer vs. Campbell,Rasmussen Reports,"Boxer 42, Campbell 41",Boxer +1,2010-05-14,2010
295,Pennsylvania Senate - Sestak vs. Toomey,R2000/Daily Kos (D),"Toomey 45, Sestak 40",Toomey +5,2010-05-14,2010
298,Idaho Senate - Crapo vs. Sullivan,Rasmussen Reports,"Crapo 66, Sullivan 22",Crapo +44,2010-05-14,2010
299,Pennsylvania Senate - Specter vs. Toomey,R2000/Daily Kos (D),"Toomey 49, Specter 41",Toomey +8,2010-05-14,2010
304,Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 43, Specter 44",Specter +1,2010-05-15,2010
306,Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 44, Specter 44",Tie,2010-05-16,2010
308,Pennsylvania Senate - Democratic Primary,Quinnipiac,"Sestak 42, Specter 41",Sestak +1,2010-05-17,2010
310,Kentucky Senate - Republican Primary,PPP (D),"Paul 52, Grayson 34",Paul +18,2010-05-17,2010
312,Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Crist 31, Rubio 39, Meek 18",Rubio +8,2010-05-17,2010
320,New York Senate - Blakeman vs. Gillibrand,Rasmussen Reports,"Gillibrand 51, Blakeman 31",Gillibrand +20,2010-05-18,2010
321,New York Senate - DioGuardi vs. Gillibrand,Rasmussen Reports,"Gillibrand 51, DioGuardi 28",Gillibrand +23,2010-05-18,2010
322,California Senate - Republican Primary,M4 Strategies (R),"Fiorina 28, Campbell 33, DeVore 15",Campbell +5,2010-05-18,2010
324,Colorado Senate - Republican Primary,PPP (D),"Norton 31, Buck 26, Wiens 5",Norton +5,2010-05-18,2010
325,Colorado Senate - Democratic Primary,PPP (D),"Bennet 46, Romanoff 31",Bennet +15,2010-05-18,2010
328,Kentucky Senate - Republican Primary,Magellan Strategies (R),"Paul 55, Grayson 30",Paul +25,2010-05-18,2010
329,New York Senate - Malpass vs. Gillibrand,Rasmussen Reports,"Gillibrand 46, Malpass 27",Gillibrand +19,2010-05-18,2010
330,Connecticut Senate - Simmons vs. Blumenthal,Rasmussen Reports,"Blumenthal 50, Simmons 39",Blumenthal +11,2010-05-19,2010
331,Connecticut Senate - Schiff vs. Blumenthal,Rasmussen Reports,"Blumenthal 53, Schiff 37",Blumenthal +16,2010-05-19,2010
332,Connecticut Senate - McMahon vs. Blumenthal,Rasmussen Reports,"Blumenthal 48, McMahon 45",Blumenthal +3,2010-05-19,2010
333,Arizona Senate - Republican Primary,Rasmussen Reports,"McCain 52, Hayworth 40",McCain +12,2010-05-19,2010
334,Arizona Senate - McCain vs. Glassman,Rasmussen Reports,"McCain 57, Glassman 28",McCain +29,2010-05-19,2010
336,Colorado Senate - Norton vs. Bennet,PPP (D),"Norton 41, Bennet 44",Bennet +3,2010-05-19,2010
337,Colorado Senate - Norton vs. Romanoff,PPP (D),"Norton 41, Romanoff 43",Romanoff +2,2010-05-19,2010
338,Colorado Senate - Buck vs. Romanoff,PPP (D),"Buck 38, Romanoff 41",Romanoff +3,2010-05-19,2010
339,Arizona Senate - Hayworth vs. Glassman,Rasmussen Reports,"Hayworth 49, Glassman 33",Hayworth +16,2010-05-19,2010
340,Colorado Senate - Buck vs. Bennet,PPP (D),"Bennet 45, Buck 39",Bennet +6,2010-05-19,2010
342,Pennsylvania Senate - Sestak vs. Toomey,Rasmussen Reports,"Toomey 42, Sestak 46",Sestak +4,2010-05-20,2010
344,Kentucky Senate - Paul vs. Conway,Rasmussen Reports,"Paul 59, Conway 34",Paul +25,2010-05-20,2010
346,Arkansas Senate - Democratic Runoff (6/8),R2000/DFA (D),"Halter 48, Lincoln 46",Halter +2,2010-05-20,2010
347,California Senate - Republican Primary,PPIC,"Fiorina 25, Campbell 23, DeVore 16",Fiorina +2,2010-05-20,2010
348,California Senate - Boxer vs. Fiorina,PPIC,"Boxer 48, Fiorina 39",Boxer +9,2010-05-20,2010
352,California Senate - Boxer vs. DeVore,PPIC,"Boxer 50, DeVore 39",Boxer +11,2010-05-20,2010
353,California Senate - Boxer vs. Campbell,PPIC,"Boxer 46, Campbell 40",Boxer +6,2010-05-20,2010
356,Arkansas Senate - Boozman vs. Lincoln,Rasmussen Reports,"Boozman 66, Lincoln 28",Boozman +38,2010-05-21,2010
357,Arkansas Senate - Boozman vs. Halter,Rasmussen Reports,"Boozman 60, Halter 33",Boozman +27,2010-05-21,2010
359,California Senate - Boxer vs. Fiorina,R2000/Daily Kos (D),"Boxer 48, Fiorina 39",Boxer +9,2010-05-21,2010
360,California Senate - Boxer vs. Campbell,R2000/Daily Kos (D),"Boxer 47, Campbell 40",Boxer +7,2010-05-21,2010
365,California Senate - Republican Primary,R2000/Daily Kos (D),"Fiorina 22, Campbell 37, DeVore 14",Campbell +15,2010-05-21,2010
374,California Senate - Boxer vs. DeVore,R2000/Daily Kos (D),"Boxer 47, DeVore 38",Boxer +9,2010-05-21,2010
379,Florida Senate - Democratic Primary,St. Petersburg Times,"Meek 33, Greene 9, Ferre 10",Meek +23,2010-05-23,2010
380,Florida Senate - Rubio vs. Meek vs. Crist,St. Petersburg Times,"Crist 30, Rubio 27, Meek 15",Crist +3,2010-05-23,2010
388,New York Senate - Blakeman vs. Gillibrand,Siena,"Gillibrand 51, Blakeman 24",Gillibrand +27,2010-05-24,2010
389,New York Senate - DioGuardi vs. Gillibrand,Siena,"Gillibrand 51, DioGuardi 25",Gillibrand +26,2010-05-24,2010
390,New York Senate - Malpass vs. Gillibrand,Siena,"Gillibrand 53, Malpass 22",Gillibrand +31,2010-05-24,2010
398,Alabama Senate - Shelby vs. Barnes,R2000/Daily Kos (D),"Shelby 57, Barnes 33",Shelby +24,2010-05-24,2010
399,North Dakota Senate - Hoeven vs. Potter,Rasmussen Reports,"Hoeven 72, Potter 23",Hoeven +49,2010-05-24,2010
402,California Senate - Republican Primary,PPP (D),"Fiorina 41, Campbell 21, DeVore 16",Fiorina +20,2010-05-25,2010
403,California Senate - Republican Primary,SurveyUSA,"Fiorina 46, Campbell 23, DeVore 14",Fiorina +23,2010-05-25,2010
410,Kansas Senate - Republican Primary,SurveyUSA,"Moran 52, Tiahrt 29",Moran +23,2010-05-25,2010
416,Washington Senate - Rossi vs. Murray,The Washington Poll,"Murray 44, Rossi 40",Murray +4,2010-05-25,2010
417,Georgia Senate - Isakson vs. Thurmond,Rasmussen Reports,"Isakson 57, Thurmond 30",Isakson +27,2010-05-25,2010
418,California Senate - Boxer vs. Fiorina,PPP (D),"Boxer 45, Fiorina 42",Boxer +3,2010-05-26,2010
419,California Senate - Boxer vs. DeVore,PPP (D),"Boxer 46, DeVore 40",Boxer +6,2010-05-26,2010
426,California Senate - Republican Primary,Magellan Strategies (R),"Fiorina 44, Campbell 21, DeVore 14",Fiorina +23,2010-05-26,2010
429,California Senate - Boxer vs. Campbell,PPP (D),"Boxer 47, Campbell 40",Boxer +7,2010-05-26,2010
445,Wisconsin Senate - Feingold vs. Johnson,Rasmussen Reports,"Feingold 46, Johnson 44",Feingold +2,2010-05-27,2010
446,Wisconsin Senate - Feingold vs. Westlake,Rasmussen Reports,"Feingold 47, Westlake 38",Feingold +9,2010-05-27,2010
447,Wisconsin Senate - Feingold vs. Wall,Rasmussen Reports,"Feingold 47, Wall 41",Feingold +6,2010-05-27,2010
452,Kentucky Senate - Paul vs. Conway,R2000/Daily Kos (D),"Paul 44, Conway 41",Paul +3,2010-05-27,2010
454,Connecticut Senate - McMahon vs. Blumenthal,Quinnipiac,"Blumenthal 56, McMahon 31",Blumenthal +25,2010-05-27,2010
458,South Carolina Senate - DeMint vs. Rawl,PPP (D),"DeMint 49, Rawl 30",DeMint +19,2010-05-27,2010
459,Alabama Senate - Shelby vs. Barnes,Rasmussen Reports,"Shelby 58, Barnes 31",Shelby +27,2010-05-27,2010
461,Arkansas Senate - Boozman vs. Lincoln,R2000/Daily Kos (D),"Boozman 58, Lincoln 38",Boozman +20,2010-05-27,2010
462,Arkansas Senate - Boozman vs. Halter,R2000/Daily Kos (D),"Boozman 53, Halter 42",Boozman +11,2010-05-27,2010
463,Arkansas Senate - Democratic Runoff (6/8),R2000/Daily Kos (D),"Lincoln 44, Halter 47",Halter +3,2010-05-27,2010
465,Oregon Senate - Huffman vs. Wyden,Rasmussen Reports,"Wyden 51, Huffman 38",Wyden +13,2010-05-27,2010
466,Nevada Senate - Lowden vs. Reid,LVRJ/Mason-Dixon,"Lowden 42, Reid 39",Lowden +3,2010-05-28,2010
467,Ohio Senate - Portman vs. Fisher,University of Cincinnati,"Fisher 47, Portman 46",Fisher +1,2010-05-28,2010
469,Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 48, Rossi 47",Murray +1,2010-05-28,2010
470,Pennsylvania Senate - Sestak vs. Toomey,R2000/Daily Kos (D),"Toomey 40, Sestak 43",Sestak +3,2010-05-28,2010
472,Nevada Senate - Republican Primary,LVRJ/Mason-Dixon,"Angle 29, Tarkanian 23, Lowden 30",Lowden +1,2010-05-28,2010
473,Nevada Senate - Tarkanian vs. Reid,LVRJ/Mason-Dixon,"Tarkanian 42, Reid 41",Tarkanian +1,2010-05-28,2010
474,New Hampshire Senate - Republican Primary,Magellan Strategies (R),"Ayotte 38, Binnie 29, Lamontagne 9, Bender 4",Ayotte +9,2010-05-28,2010
